WordItem,WordColor,ImageFile,AnimateInanimate,wordCompilation.thisRepN,wordCompilation.thisTrialN,wordCompilation.thisN,wordCompilation.thisIndex,oneRep.thisRepN,oneRep.thisTrialN,oneRep.thisN,oneRep.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,0.5646404579747468,8.260374749894254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,8.260374749894254,None,8.838883290998638,None,space,0.25556566601153463,9.329863457940519,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,9.60682183294557,None,,,,,9.329863457940519,None,space,0.2311296669067815,10.105457874946296,None,,,,,,,,,,,,,,,,,,,,,,,, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,10.346491624950431,None,,,,,,,,,,,10.105457874946296,None,10.85294591600541,None,space,0.2820743330521509,10.85294591600541,None,,,,,,,,,,,,,,,, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
A,green,,,0,0,0,0,0,0,0,0,,,,,,,,,,,13.146332790958695,None,,,,,,,,,,,,,,,,,,,11.163034708006307,None,,,,,,,,,,,,,, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
A,green,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.638962999917567,None,space,0.5251907920464873,13.638962999917567,None,,,,,,,, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Goat 1.jpg,1,,,,,,,,,0,0,0,0,,,,,,,15.956703082891181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,14.214600707986392,None,1,1,1.7223810410359874,14.214600707986392,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Happy face 2.jpg,1,,,,,,,,,0,1,1,1,,,,,,,16.854625249980018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45550749998074,None,2,0,0.38415179192088544,16.45550749998074,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Lion 1.jpg,1,,,,,,,,,0,2,2,2,,,,,,,18.021744290948845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,17.363029457977973,None,2,0,0.6408274170244113,17.363029457977973,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Monkey 1.jpg,1,,,,,,,,,0,3,3,3,,,,,,,19.007700499962084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5226595409913,None,2,0,0.4745922499569133,18.5226595409913,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Dog 12.jpg,1,,,,,,,,,0,4,4,4,,,,,,,20.03766862489283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,19.508221499971114,None,2,0,0.5085079999407753,19.508221499971114,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Gun 5.jpg,2,,,,,,,,,0,5,5,5,,,,,,,21.10399770794902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54307854094077,None,1,0,0.5430610409239307,20.54307854094077,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Money 1.jpg,2,,,,,,,,,0,6,6,6,,,,,,,22.242056332994252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60338583297562,None,1,0,0.6294389580143616,21.60338583297562,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Office supplies 4.jpg,2,,,,,,,,,0,7,7,7,,,,,,,23.44033120793756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22.741994290961884,None,1,0,0.6854574580211192,22.741994290961884,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Sidewalk 3.jpg,2,,,,,,,,,0,8,8,8,,,,,,,24.484602582990192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,23.941267374902964,None,1,0,0.5197797089349478,23.941267374902964,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
,,Images/Storage 1.jpg,2,,,,,,,,,0,9,9,9,,,,,,,25.431653957930394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,24.986556624993682,None,1,0,0.43304783303756267,24.986556624993682,None, ,001,2022_Jun_03_1433,psychopy,2021.2.3,None,
